,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Estonia,Finland,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,Denmark,France,Netherlands,United Kingdom
2021-02-07,85336,10251,418535,258691,725610,123434,223734,235402,1034975,47928,48165,2284010,163946,376495,6021,203568,2636738,61688,71800,2595,188636,51512,18676,164569,1655,65227,94798,64772,1550255,765414,745318,3923461,3136,407881,473575,173702,2941990,588062,531873,1288669,201621,3322988,1007981,3954178
2021-02-14,93075,10503,427881,268687,738631,125402,229679,237657,1088009,52416,50703,2334561,172128,387462,6033,209582,2721879,63805,76706,2613,192132,52539,19789,170186,1760,68921,97052,66501,1588955,785756,761963,4026506,3304,420879,511547,179477,3056035,608411,540727,1316520,204362,3447518,1032094,4046718
2021-02-21,100246,10699,439078,278312,754473,127537,236666,239945,1153159,57616,54171,2386559,179802,403023,6045,215057,2809246,66480,81519,2620,195472,53782,20892,176752,1870,71995,99285,68532,1638767,797525,779695,4117992,3472,436640,549434,184767,3133122,631166,547775,1351190,207577,3584326,1060801,4124210
2021-02-28,107167,10866,452646,287306,771511,130979,247038,242973,1235480,65600,58095,2442336,191100,428599,6049,219592,2925265,68451,86186,2648,199163,55110,22482,185453,1956,75834,102787,71006,1706986,804562,801994,4198400,3716,459259,588671,190081,3188553,657309,554932,1395528,211195,3732426,1092452,4185311
2021-03-07,112897,11042,468427,295511,787891,135513,260308,246514,1321331,75003,62578,2500182,205120,466017,6059,223219,3067486,72600,90331,2668,202218,56296,24398,195252,2023,79774,107163,74942,1794914,810094,828283,4274263,3922,485439,624188,195468,3204531,684961,562290,1449741,214839,3878007,1123909,4227566
2021-03-14,117474,11266,486513,302323,808283,142160,278557,251045,1399078,84807,67484,2569245,221147,516490,6072,226741,3223142,76070,93781,2688,205423,57503,26535,204463,2107,83693,112646,80440,1906632,814257,859709,4341381,4126,516277,654912,200374,3212332,712527,570645,1509983,220459,4043769,1162661,4268020
2021-03-21,121200,11517,506969,310445,837006,151337,303423,257639,1469547,95401,72209,2659516,237125,571596,6097,230599,3376376,80295,97409,2709,209086,58955,28128,215034,2173,87212,119378,86939,2058550,817530,897115,4407031,4356,551128,680076,206026,3212332,744272,580609,1596201,225505,4252919,1207806,4306382
2021-03-28,124134,11850,528627,318681,870757,162032,328753,267222,1515029,103630,76441,2772401,254031,633861,6163,234541,3532057,84172,101040,2737,214028,60465,28875,226521,2259,90083,126938,93150,2250991,820407,936618,4469327,4626,585506,700607,212678,3255324,780018,592217,1694568,228013,4513685,1259155,4342917
2021-04-04,126531,12231,550234,327304,900996,173478,352999,280026,1551896,109399,79764,2885386,275414,685979,6225,238148,3668264,91079,104105,2774,219658,62105,29223,235087,2329,92519,134867,98676,2438542,823335,974375,4529576,4805,617669,716997,220141,3300965,813191,605342,1797027,233318,4788117,1307466,4369282
2021-04-11,128393,12545,569084,336038,925476,181927,371993,292516,1580189,114174,82402,2998268,295480,720164,6258,240945,3769814,95886,107608,2835,226298,63467,29614,241217,2375,94269,141844,103621,2574631,827494,1006167,4589209,4956,642208,729587,226499,3347512,857401,617543,1905430,237792,5021865,1357340,4380220
